Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
84;26874;Building and Environment;journal;03601323;1,879;Q1;124;587;1295;29746;7212;1278;5,20;50,67;United Kingdom;Elsevier Ltd.;1976-ongoing;"Building and Construction (Q1); Civil and Structural Engineering (Q1); Environmental Engineering (Q1); Geography, Planning and Development (Q1)"
85;27049;Global and Planetary Change;journal;09218181;1,868;Q1;114;175;446;15224;2075;431;4,43;86,99;Netherlands;Elsevier BV;1988-ongoing;"Global and Planetary Change (Q1); Oceanography (Q1)"
86;19041;Landscape and Urban Planning;journal;01692046;1,834;Q1;132;246;558;15646;3582;540;5,93;63,60;Netherlands;Elsevier BV;1986-ongoing;"Ecology (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)"
87;50089;Journal of Hydrology;journal;00221694;1,830;Q1;192;907;2295;54785;11109;2247;4,54;60,40;Netherlands;Elsevier BV;1949, 1963-1966, 1968-ongoing;Water Science and Technology (Q1)
88;23972;Landscape Ecology;journal;15729761, 09212973;1,821;Q1;115;163;458;10972;2010;438;4,51;67,31;United States;Kluwer Academic/Plenum Publishers;1987-ongoing;"Ecology (Q1); Geography, Planning and Development (Q1); Nature and Landscape Conservation (Q1)"
89;17892;Ecology and Society;journal;17083087;1,807;Q1;119;188;568;14251;2724;553;4,67;75,80;Canada;The Resilience Alliance;1997-ongoing;Ecology (Q1)
90;145746;Agronomy for Sustainable Development;journal;17730155, 17740746;1,806;Q1;81;67;219;5441;1293;212;4,74;81,21;Germany;Springer Verlag;2005-ongoing;"Agronomy and Crop Science (Q1); Environmental Engineering (Q1)"
91;16136;Reviews in Environmental Science and Biotechnology;journal;15691705;1,793;Q1;63;35;93;5098;687;92;5,36;145,66;Netherlands;Kluwer Academic Publishers;2002-ongoing;"Applied Microbiology and Biotechnology (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1)"
92;35048;Food Policy;journal;03069192;1,782;Q1;85;120;290;6628;1298;288;4,15;55,23;United Kingdom;Elsevier Ltd.;1975-ongoing;"Development (Q1); Economics and Econometrics (Q1); Food Science (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)"
93;20290;Ecological Economics;journal;09218009;1,767;Q1;174;390;815;25586;3931;775;4,54;65,61;Netherlands;Elsevier BV;1989-ongoing;"Economics and Econometrics (Q1); Environmental Science (miscellaneous) (Q1)"
